BASE 22 3  M = 132  ds = [ 1, 2, 3, 4, 6, 11, 12, 22, 33, 44, 66, 132 ]
#isotropic = 5 (2N-1 = 5)
#cosets = 288
#monomials = 132
<105, -177/4>, <35, 14149/484>, <36, -9393/484>, <106, 4527/484>, <37, 
356534/363>, <38, 20393/242>, <107, -2155/44>, <39, -293135/264>, <40, 
646177/2376>, <41, -2690249/1056>, <108, -102121/792>, <42, -1417901/3168>, <43,
-2876633/1188>, <44, 55522751/792>, <109, 44047/352>, <45, 5114/3>, <46, 
-736709/792>, <110, -72683/99>, <111, 147615/88>, <47, -5989021/4752>, <48, 
-88566655/8712>, <49, 16978531/52272>, <50, 194965/2178>, <112, -915809/5808>, 
<51, -910632979/1188>, <52, 2020282051/9504>, <113, -27059/121>, <53, 
28427123/4752>, <54, -722279/288>, <55, -50614447/297>, <56, 508724353/8712>, 
<114, -26458991/1584>, <115, 15778327/3168>, <57, 4738001/1782>, <58, 
34406321/52272>, <59, -53821871/4356>, <116, -139349/33>, <117, 14253103/17424>,
<60, 416305/2178>, <61, -569243/1452>, <118, -37366/121>, <62, -679/33>, <63, 
281279767/2178>, <119, 983/242>, <64, 29256265/26136>, <120, 16936195/8712>, 
<65, 2880265049/26136>, <66, 34477039/52272>, <67, -3943392809/104544>, <68, 
-2525207321/34848>, <121, 31609313/17424>, <69, 11611115/9504>, <70, 
-281471453/104544>, <71, 698660681/3168>, <122, -13858451/11616>, <72, 
-562553363/4356>, <123, -8648891/34848>, <73, -151311757/104544>, <74, 
-29216819/26136>, <124, 163291757/34848>, <125, -16935469/8712>, <75, 
326538607/34848>, <76, 5104580695/52272>, <77, 22665785/34848>, <78, 
-8803132631/104544>, <79, -4554463655/104544>, <80, -27560761/52272>, <126, 
-3162259/34848>, <81, 281222839/104544>, <82, -2319415/864>, <127, 
11787403/5808>, <128, -255469/96>, <129, 10128455/34848>, <83, 
1052431865/26136>, <84, -1839353/2376>, <85, -3031503433/17424>, <130, 
3101225/2904>, <86, -90862019/52272>, <131, -43974049/17424>, <87, 
-2219212289/104544>, <88, -379074571/313632>, <132, 3475601/34848> ]
FORMC 13 [ <1, 41/1452>, <2, -3/484>, <5, 41/44>, <6, 37/198>, <8, -199/44>, 
<10, -289/66>, <15, -75/242>, <17, 287/99>, <19, 23/132>, <21, 6079/792>, <23, 
-109/4356>, <24, -4683/968>, <27, -1607/1188>, <28, -8975/792>, <31, 35113/792>,
<32, -553/44>, <35, -201/121>, <37, 7009/1452>, <39, 19663/792>, <41, 
-4117/1056>, <43, 142661/1188>, <44, -43285/72>, <47, 1543889/52272>, <48, 
