AVAIL = [ -2, -1, 8, 9, 10, 11, 12, 13, 14 ]
USED KEYS = [ -2, -1, 9, 10, 11, 12, 13, 14 ]
MONO 223 [ -168, 85, 0, 56, 55, -29, -27, 3, 0, 53, -24, -3 ]
MONO 224 [ -168, 86, -1, 54, 51, -26, -17, 0, -4, 55, -28, -1 ]
MONO 225 [ -168, 86, -1, 54, 55, -26, -27, 0, 0, 51, -18, -5 ]
MONO 226 [ -168, 86, -1, 55, 53, -28, -21, 1, -2, 54, -26, -2 ]
MONO 227 [ -168, 86, -1, 55, 54, -28, -26, 1, 0, 55, -27, 0 ]
MONO 228 [ -167, 82, 2, 53, 53, -23, -24, -2, -1, 55, -28, 1 ]
MONO 229 [ -167, 83, 0, 53, 53, -24, -25, 0, 1, 55, -27, -1 ]
MONO 230 [ -167, 83, 0, 53, 54, -24, -25, 0, 0, 56, -27, -2 ]
MONO 231 [ -167, 83, 0, 55, 51, -28, -19, 2, -3, 55, -25, -3 ]
MONO 232 [ -167, 83, 1, 53, 53, -21, -24, -2, -1, 55, -27, -2 ]
MONO 233 [ -167, 83, 1, 54, 54, -25, -26, -1, 0, 53, -21, -4 ]
MONO 234 [ -167, 83, 1, 54, 55, -28, -27, 4, 0, 54, -25, -3 ]
MONO 235 [ -167, 83, 1, 54, 55, -26, -29, 0, 4, 54, -25, -3 ]
MONO 236 [ -167, 83, 1, 54, 55, -26, -27, 0, 0, 54, -27, 1 ]
MONO 237 [ -167, 83, 1, 54, 55, -25, -27, -1, 2, 54, -26, -2 ]
MONO 238 [ -167, 83, 1, 55, 53, -28, -24, 1, -1, 57, -26, -3 ]
MONO 239 [ -167, 83, 1, 55, 56, -28, -28, 1, 0, 52, -22, -2 ]
MONO 240 [ -167, 83, 1, 55, 57, -28, -26, 1, -1, 53, -24, -3 ]
MONO 241 [ -167, 83, 1, 56, 53, -28, -24, 0, -1, 54, -26, 0 ]
MONO 242 [ -167, 84, 0, 54, 54, -26, -23, 0, -1, 53, -24, -3 ]
MONO 243 [ -167, 84, 0, 54, 55, -26, -28, 0, 1, 54, -25, -1 ]
MONO 244 [ -167, 84, 0, 54, 55, -24, -27, 0, 0, 54, -26, -2 ]
MONO 245 [ -167, 84, 0, 55, 54, -28, -28, 1, 2, 58, -27, -3 ]
MONO 246 [ -167, 84, 0, 55, 54, -27, -26, 0, 0, 58, -28, -2 ]
MONO 247 [ -167, 84, 0, 55, 56, -28, -29, 1, 1, 52, -20, -4 ]
MONO 248 [ -167, 84, 0, 55, 58, -28, -30, 1, 2, 54, -25, -3 ]
MONO 249 [ -167, 84, 0, 55, 58, -27, -28, 0, 0, 54, -26, -2 ]
MONO 250 [ -167, 84, 0, 56, 55, -28, -28, 0, 1, 56, -27, -1 ]
