AVAIL = [ -2, -1, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66 ]
USEDKEYS -2,-1,
MONO 33 [ -1, 1, 2, 0, -1, -1, 0, 2, 1, 1, 1, -1, 1, -1, -3, 1, -3, 5, -5, 5, -1, 9, 13, -24 ]
MONO 34 [ -1, 1, 2, 0, -1, -1, 2, 4, 0, -1, 0, -1, -1, 0, -2, -1, -1, 2, -1, 3, 0, 4, 8, -14 ]
MONO 35 [ -1, 1, 2, 0, -1, 0, -1, 3, -1, 3, 0, -2, 1, -2, -2, 0, -3, 4, -2, 4, 0, 5, 7, -14 ]
MONO 36 [ -1, 1, 2, 0, -1, 0, 0, 2, -1, 1, 1, -1, 1, -1, -2, 1, -2, 3, -3, 3, -1, 5, 8, -14 ]
MONO 37 [ -1, 1, 2, 0, 0, -2, -2, 0, 2, 6, 1, -1, 0, -3, -2, 0, -3, 5, -5, 5, 0,10, 12, -24 ]
MONO 38 [ -1, 1, 2, 0, 0, -2, -1, 0, 2, 5, -1, 0, 0, -3, 2, -1, -4, 2, -3, 6, 2,8, 10, -23 ]
MONO 39 [ -1, 1, 2, 0, 0, -2, -1, 1, 2, 4, 0, -1, 0, -3, -1, 0, -4, 4, -4, 7, 0,9, 12, -24 ]
MONO 40 [ -1, 1, 2, 0, 0, -2, 0, -1, 2, -1, -1, 2, 0, 0, 1, 0, 1, 2, -3, 3, 0, 8, 11, -23 ]
MONO 41 [ -1, 1, 2, 0, 0, -2, 0, -1, 2, 0, -1, 2, 0, -1, 1, 0, -1, 2, -5, 5, 0, 10, 12, -24 ]
MONO 42 [ -1, 1, 2, 0, 0, -2, 0, 0, 2, 1, 0, 1, 0, -1, -2, 1, -1, 4, -6, 4, -2, 9, 16, -25 ]
MONO 43 [ -1, 1, 2, 0, 0, -2, 0, 0, 2, 2, 1, 0, 0, -2, -1, 1, -3, 3, -5, 6, -1, 9, 13, -24 ]
MONO 44 [ -1, 1, 2, 0, 0, -1, -2, 0, 0, 6, 1, -1, 0, -3, -1, 0, -2, 3, -3, 3, 0,6, 7, -14 ]
MONO 45 [ -1, 1, 2, 0, 0, -1, -1, 0, 0, 5, -1, 0, 0, -3, 3, -1, -3, 0, -1, 4, 2,4, 5, -13 ]
MONO 46 [ -1, 1, 2, 0, 0, -1, -1, 1, 0, 4, 0, -1, 0, -3, 0, 0, -3, 2, -2, 5, 0, 5, 7, -14 ]
MONO 47 [ -1, 1, 2, 0, 0, -1, 0, -1, 0, -1, -1, 2, 0, 0, 2, 0, 2, 0, -1, 1, 0, 4, 6, -13 ]
MONO 48 [ -1, 1, 2, 0, 0, -1, 0, -1, 0, 0, -1, 2, 0, -1, 2, 0, 0, 0, -3, 3, 0, 6, 7, -14 ]
MONO 49 [ -1, 1, 2, 0, 0, -1, 0, 0, 0, 1, 0, 1, 0, -1, -1, 1, 0, 2, -4, 2, -2, 5, 11, -15 ]
MONO 50 [ -1, 1, 2, 0, 0, -1, 0, 0, 0, 2, 1, 0, 0, -2, 0, 1, -2, 1, -3, 4, -1, 5, 8, -14 ]
MONO 51 [ -1, 2, 1, -1, 0, -2, -2, 1, 3, 5, -2, -1, 1, -2, 2, 1, -4, 3, -6, 5, 0, 9, 13, -24 ]
