[SIG] 6 29 sgn=1   diag=[ -1302, 290/217, -174/5 ] det=60552 signature=(1,2)
[DIFF] 6 29 sgn=-1  m=317  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=320  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=322  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=323  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=326  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=328  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=329  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=332  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=335  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=338  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=341  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=342  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=344  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=347  finite_fail=[ 3 ] arch_fail=false
